State,Attraction,Address,City,Zip Code,"Location (Lat, Long)",Rating,Image URL,Category,Opening Hours
AL,American Village Citizenship Trust,"3727 Highway 119, Montevallo",Montevallo,35115,"33.13786700000001, -86.8269499",4.4,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DNcuoHpcepe71Zl7m9E01LGYV7RpejijUzexnU4rOOEozafwl6cBaDs-NG3VdCxuRC3TuQff7rjLPToYSNrluDhNuxNTf_yYOfB3HBenjhOGWs-2OnfbEIldhvCm6tjrb1v01CuYTYdYHYIrciLh3_qdwaEheBCkM0DstX9ZuM9I3So&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"museum, tourist_attraction, point_of_interest, establishment","Monday: 10:00AM - 4:00PM
Tuesday: 10:00AM - 4:00PM
Wednesday: 10:00AM - 4:00PM
Thursday: 10:00AM - 4:00PM
Friday: 10:00AM - 4:00PM
Saturday: Closed
Sunday: Closed"
AL,Limestone Park,"2280 U.S. 31, Alabaster",Alabaster,35007,"33.1845739, -86.7672192",4.4,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DMXo5XXZ3hZ1Zz1ubP5OW6bL20bqEg3Ht3kiLMxwbHTCTDoo-kBj-X1b9-EwEI9BwJ0m-Dw-0iQcriipBqVAl8vtkNSyXPJwl6M-BfsYNUBVWKkc8YDfmUQdI8jS5rCKTdTR4lkArCowUGPp4GSRx45VcEfXrKjMq3BUhgKB5DvzHd3&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment","Monday: 6:30AM - 8:30PM
Tuesday: 6:30AM - 8:30PM
Wednesday: 6:30AM - 8:30PM
Thursday: 6:30AM - 8:30PM
Friday: 6:30AM - 8:30PM
Saturday: 6:30AM - 8:30PM
Sunday: 6:30AM - 8:30PM"
AL,Veterans Park,"7305 Highway 119, Alabaster",Alabaster,35007,"33.18654409999999, -86.82815710000001",4.7,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DP_EJKJSZbfdpINSjFs8myHqYRX0Pd5ddUePIkfqCvvg-_6n-WtRzGmlAuupRle6BaIYXlsWaJ1z3TdGP7D7DphEcYEH5Ha55Re358O0Q9PAYWIsPYIgFHYzYWDc5CcqBcECGsLkVz_3C0Xfx2O17zTVWWXYz-2UeNV0K2Xmn8Bu3i5&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment","Monday: 5:00AM - 11:00PM
Tuesday: 5:00AM - 11:00PM
Wednesday: 5:00AM - 11:00PM
Thursday: 5:00AM - 11:00PM
Friday: 5:00AM - 11:00PM
Saturday: 5:00AM - 11:00PM
Sunday: 5:00AM - 11:00PM"
AL,Harrison Museum-G Washington,"50 Lester Street, Columbiana",Columbiana,35051,"33.1797172, -86.609121",4.5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DPczhviMSGHCvW1lBbdj8PF03N-QrUkynXF99X82kBdZg6a9hCHPuqAncJ-deWh99uCUSeDffDEwHxqrQDcYze6irPAHzddLJYMvWhx7JzOJlI345QHN887kcMjoa49GuGfk0jRfTlaj1wHwQQOXN1B2H987hINKcmByqMon1OREcbz&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"museum, tourist_attraction, point_of_interest, establishment","Monday: 10:00AM - 3:00PM
Tuesday: 10:00AM - 3:00PM
Wednesday: 10:00AM - 3:00PM
Thursday: 10:00AM - 3:00PM
Friday: 10:00AM - 3:00PM
Saturday: Closed
Sunday: Closed"
AL,West Blocton Coke Ovens Park,"1961 Cahaba River Drive, West Blocton",West Blocton,35184,"33.1178271, -87.1070639",4.7,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DMSirulQCP5fpd6ksEnHmL0KVUBto5Ig5GvxvJ54D5XmTI53BBtFnGtDsC4xmzlLeeCbhoHqp251VB3eMK0UpB1ZOG3PHPT7lba0G17Fy3121Ln9w3hJCQE-MVkkFMh6aT8Jkomn67AntCuCK7ZHKW9mVF-MUfU0WvXNFjxiRm2R9_O&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment","Monday: 7:00AM - 5:00PM
Tuesday: 7:00AM - 5:00PM
Wednesday: 7:00AM - 5:00PM
Thursday: 7:00AM - 5:00PM
Friday: 7:00AM - 5:00PM
Saturday: 7:00AM - 5:00PM
Sunday: 7:00AM - 5:00PM"
AL,Perry Lakes Park,"Alabama 175, Marion",Marion,36756,"32.697966, -87.260727",4.4,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DPv5nKZhgQAivGnUwxzEVWTitPB-HiOL4yW6tby6aRvRUd5F-smFSyTXZuMo1Z6HOxN8RSokT5f2euc76P5QzA2rlYD6SQQim9iN_i4Tf0XxAMVA8Qlis83A6gV57tB3E0s6yuFWfnQcK4c_JKlVNeGRwt2l1Ym3o1XqgiqdxbFiVvt&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment","Monday: 7:00AM - 4:30PM
Tuesday: 7:00AM - 4:30PM
Wednesday: 7:00AM - 4:30PM
Thursday: 7:00AM - 4:30PM
Friday: 7:00AM - 4:30PM
Saturday: 7:00AM - 4:30PM
Sunday: 7:00AM - 4:30PM"
AL,Paul M. Grist State Park,"1546 Grist Road, Valley Grande",Valley Grande,36701,"32.60167799999999, -86.99127039999999",4.5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DNvyqFuNe2vJmN-MB05o4YOuBGnqHLf6NJcgtz3hDRohx6GXUhQy460sr_-HhNcZXIsuA9iAhqg7G_XygqQUbIlAMKJBnUttRGqHuT2NuDN3mf-T29-kmAoUDrhmBzSJdrboRdjtd5a4ayJxX4aXl_Bcxdbxx-BCasqmDQYB6xHhn5x&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"tourist_attraction, park, point_of_interest, establishment","Monday: 7:00AM - 7:00PM
Tuesday: 7:00AM - 7:00PM
Wednesday: 7:00AM - 7:00PM
Thursday: 7:00AM - 7:00PM
Friday: 7:00AM - 7:00PM
Saturday: 7:00AM - 7:00PM
Sunday: 7:00AM - 7:00PM"
AL,Buck Creek Park,"701 6th Avenue Southwest, Alabaster",Alabaster,35007,"33.23751250000001, -86.8243147",4.5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DPik3_cJR5WtSYOmmt6nsB4eosmV6LZ1upN_u4GbXkY7TWvtCGyylidp7jEhcw5UCirB-PYXpU71OBaYSJgzAKHuik4r07_WaBUxgR0mJ1aDOGgtTneBw8fJaK4szRjHdXa0zuidb2rpu32CJ3lw12Z6LHFalIaSZODzHPK4fyFmqTe&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment","Monday: 7:00AM - 11:00PM
Tuesday: 7:00AM - 11:00PM
Wednesday: 7:00AM - 11:00PM
Thursday: 7:00AM - 11:00PM
Friday: 7:00AM - 11:00PM
Saturday: 7:00AM - 11:00PM
Sunday: 7:00AM - 11:00PM"
AL,Beeswax Creek Park,"245 Beeswax Park Road, Columbiana",Columbiana,35051,"33.1757367, -86.5129187",4.6,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DMKz_wfoR-TNijw6gmzfDwJrFBEvZZl8p2UTiW78nvpV-Y-VatE1WlBNntVhohQBlNuasxxHLtNTKDqw6NrAxQBOTV3COrdprsMKteWYbAv1vm1RMozpVJnthAXrBTocG8m1uhRCEiF446qRbnGt9JPY_oR-D-vVoyu7s9CPJVBlfgI&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment","Monday: 5:30AM - 7:00PM
Tuesday: 5:30AM - 7:00PM
Wednesday: 5:30AM - 7:00PM
Thursday: 5:30AM - 7:00PM
Friday: 5:30AM - 7:00PM
Saturday: 5:30AM - 7:00PM
Sunday: 5:30AM - 7:00PM"
AL,Confederate Memorial Park,"437 County Road 63, Marbury",Marbury,36051,"32.718869, -86.4740059",4.8,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DOqKzfFx94onxWhGoZ_7iADL71o9v-ZJW8bBYZKuUAIqzsw2Qs1gOu1tBl2ivzCmxjdcsFljJ3v_UTjarrNGmdn8WplWYd6UUtYgDaBLGBkmFMIgzSfAQYqsF3scTkvJNZWZ9S1sclp9LNo9Bq_KkxFPRytjNJMEhzk6zPYbMYD4NrJ&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"tourist_attraction, park, point_of_interest, establishment","Monday: 9:00AM - 5:00PM
Tuesday: 9:00AM - 5:00PM
Wednesday: 9:00AM - 5:00PM
Thursday: 9:00AM - 5:00PM
Friday: 9:00AM - 5:00PM
Saturday: 9:00AM - 5:00PM
Sunday: 9:00AM - 5:00PM"
AL,Abby Wooley Park,"320 Park Road, Alabaster",Alabaster,35007,"33.24790709999999, -86.81005329999999",4.2,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DN5t3xmag6OqiaDOsWm4aiqetT31FBB8d7iTbwDnqnkbUE5ViaR-n4-YNpZ-qrrGFUr--th08ZGaUw_jZNfLPGTTo690lHD5PUPLwR6hZ8aKGBkV6PW9fqV2XtrOYCoQKRAsy8HMjFR-U33Lvv3kilJXxmrA14j6g0dEX-tcjFQGbAa&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment","Monday: 6:00AM - 11:00PM
Tuesday: 6:00AM - 11:00PM
Wednesday: 6:00AM - 11:00PM
Thursday: 6:00AM - 11:00PM
Friday: 6:00AM - 11:00PM
Saturday: 6:00AM - 11:00PM
Sunday: 6:00AM - 11:00PM"
AL,Selma Interpretive Center of the Selma to Montgomery National Historic Trail,"2 Broad Street, Selma",Selma,36701,"32.4068484, -87.0190868",4.6,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DOYK3eM6UQ2ro2JojLT01VPAdsk1XuM_8UCxjiGKYpfzpXwNiq6JVawmeprpHmuPdImX4DLfSXFvI_j6wbDzrCQA_T3Z68O_gh-N_Sn1E_3ITyNXQ-_7dofTa3zzl54DpINSV3FfKJcmZGU7_71eOHY1r4MNnyY0vYXOocZYLAvx15K&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"museum, tourist_attraction, point_of_interest, establishment",N/A
AL,Beneful Dream Dog Park,"7305 Highway 119, Alabaster",Alabaster,35007,"33.1856468, -86.8277943",4.7,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DOFDC0krUY72v-UoWwqOWAybmJQn1DM2hHCJRZEg_1sdImtrANQ_DUFIP0lna3psKAOjxzjS30GgUxicByrzRIcZKSlNv9nDq_NU95-ypc65p_KHiQxuEO9RYVLZqotijZ99QgbXUVXrUG3KUSDv54BxD9BE_QzJpEyrobv_cH4dXxl&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"tourist_attraction, park, point_of_interest, establishment",N/A
AL,Ebenezer Swamp Ecological Preserve,Alabaster,Alabaster,35007,"33.1673425, -86.8095639",4.8,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DPwcP4tFsREY_IFY0FpxTpT6Dd_gPOmVOm8T9Cu_h5Mdea0sSQlWNNFzwiAOGQaUtL0V857bcygcQUHhiKPGu_SNlovcEM3h-EW22aR-1D793d5nyKP5eOpeILNJ633HXD-lKmw7lnm9V0LsbsCgOkJwz5e_7kcS3Se9dOppziP1xs&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"tourist_attraction, park, point_of_interest, establishment",N/A
AL,Old Depot Museum,"4 Martin Luther King Street, Selma",Selma,36703,"32.4086189, -87.0138949",4.4,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DOXAAxaUub_QSq7d_Hc0QZZbEEzgUPj4-oal5bqNFfP2rXDASYQ5kWW6NpCxnp9z5O4QGCLbTldwG8yVOBbtYIPl4h3OWzdIRoWSaDbFMTK-2YgEt3YbJo5QcuyEedVpICRYttDv5SziEN6QEPhXrJQislH0JRatb280RKf3G0K7hKZ&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"tourist_attraction, museum, point_of_interest, establishment","Monday: 10:00AM - 4:00PM
Tuesday: 10:00AM - 4:00PM
Wednesday: 10:00AM - 4:00PM
Thursday: 10:00AM - 4:00PM
Friday: 10:00AM - 4:00PM
Saturday: Closed
Sunday: Closed"
AL,Cornelius Farms,"1981 Hopewell Drive, Clanton",Clanton,35045,"32.8148339, -86.6317629",5,N/A,"tourist_attraction, point_of_interest, establishment",N/A
AL,Peach Lighthouse,Clanton,Clanton,35046,"32.801156, -86.5731873",5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DN7Tj0VG0r30L59Am2pRPTg4rjxnK0qjqQ_JPC8uresBgCBQcxyNXTOaCtMVSVTWFrnbgrAxXmIINzlryfekbi-o7aQfJksvzacsB1O2__TmMbG3sdMD6xY6_Pg2kBS2KtjBmtZuyPM4IDjXpBZYsHECf4JOtVDeq30NFdq-eRbPcr9&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"tourist_attraction, point_of_interest, establishment","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
AL,Minooka Park,"2391 County Road 146, Jemison",Jemison,35085,"33.02060189999999, -86.7488149",4.6,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DOifPtjS-3qpnzobA_sWZU-PelT_ysidvz2PNNYdMQBkTrjf3zxr-GQsoFnqMyw8AdesxeBuwFuq96QimgjA2EjhYAe9RtanUkSdjXajvwucskbCIzjEdhjBXmSOtIff7QfeO-LsDH9ae3HVjkFpCLAwn_JW94AL0lyVy2yK_kh7Xia&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment","Monday: Closed
Tuesday: Closed
Wednesday: 9:00AM - 5:00PM
Thursday: 9:00AM - 5:00PM
Friday: 9:00AM - 5:00PM
Saturday: 9:00AM - 5:00PM
Sunday: 9:00AM - 5:00PM"
AL,Old Kingston Park,"1315 County Road 21 North, Prattville",Prattville,36067,"32.576341, -86.59819499999999",4.5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DPArs-rm0M0-WLw8KWvkLwMrzYnzM4HQQBlhLgIISJlNr1sWQdm-PsCYOwN3Db0-NFu17X_XKqjVxoNrbcrk6PTjTl9gogPb_v0XO-mVnEXJRX8rIVVww2wXL0fSUQEr4LfKktEhlmgnASX6i22Y1SlG2xqEm0u3XBzHZ4_7F_jLf-S&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment","Monday: 6:00AM - 8:00PM
Tuesday: 6:00AM - 8:00PM
Wednesday: 6:00AM - 8:00PM
Thursday: 6:00AM - 8:00PM
Friday: 6:00AM - 8:00PM
Saturday: 6:00AM - 8:00PM
Sunday: 6:00AM - 8:00PM"
AL,Leigh Camp,"99 County Road 760, Clanton",Clanton,35046,"33.022578, -86.56983900000002",N/A,N/A,"tourist_attraction, point_of_interest, establishment",N/A
AL,Higgins Ferry Park,"11161 County Road 28, Clanton",Clanton,35046,"32.8590133, -86.45660339999999",4.6,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DP_a5cDWLMOM7NHTVN5u4xA3w75rWB2XDRsmDUUKJ84JyiymnyrmZLreeo_WE4hU4wsQwLw6hkAevp1vwsyYF_xgqMMKjxJLtGzfMwm48DgB9_CVm2gXVqj3diSo8oBsuokkH7YiHx7OIGwik6h_BpSAvWi1AcVoipMg9W37n0puy_h&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment",N/A
AL,Oliver Park,"9758 Alabama 25, Calera",Calera,35040,"33.0947617, -86.7659345",4.3,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DNh9sSBFIAFAiyjLo10RSH1QEzBsvmqDJHTKbsTTxzmd8E445vAkaGqx_BNj5TJaozEVrHTstNYURqc_bgf8a_B3oP7hALXoTsNqAJQ7LkRBlX9-mYeAnC16nhhoGYQYo0HkBMgMpux6DWaGYz0dEyGNQQ8EvI1BY5KM2WdLI8Eh231&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment","Monday: 7:00AM - 7:00PM
Tuesday: 7:00AM - 7:00PM
Wednesday: 7:00AM - 7:00PM
Thursday: 7:00AM - 7:00PM
Friday: 7:00AM - 7:00PM
Saturday: 7:00AM - 7:00PM
Sunday: 7:00AM - 7:00PM"
AL,Akridge Arboretum Park,"1965 14th Street, Calera",Calera,35040,"33.0987833, -86.7548473",4.5,N/A,"park, tourist_attraction, point_of_interest, establishment","Monday: 6:00AM - 10:00PM
Tuesday: 6:00AM - 10:00PM
Wednesday: 6:00AM - 10:00PM
Thursday: 6:00AM - 10:00PM
Friday: 6:00AM - 10:00PM
Saturday: 6:00AM - 10:00PM
Sunday: 6:00AM - 10:00PM"
AL,House of Prayer,"785-861 County Road 63, Calera",Calera,35040,"33.1078372, -86.77514149999999",5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DOE4zRAvVUZJYxAOkXOgTf9yJYn_179JkWSGPH4cSu7PHqoG3eDx34FIZrl0tgSioGmS85tyJECl2A5h2RchUAipA9jyBz2KIPncmH2rf_vnl2n62Woz9QXTKXr-7gOYFcARDAeMInnn_Xbi_csBdTrcQQp0zSyPvKUOJxgSKZvWKxQ&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"tourist_attraction, point_of_interest, establishment","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
